city,population,avg_income,urbanization_rate,median_age
Delhi,19800000,58000,89,29
Mumbai,20400000,60000,91,30
Bengaluru,12500000,54000,88,28
Hyderabad,9700000,52000,86,29
Chennai,10400000,51000,85,30
Pune,7200000,49000,84,28
Ahmedabad,8400000,48000,80,29
Jaipur,3900000,43000,77,30
Lucknow,3100000,41000,72,31
Kolkata,14700000,47000,89,32
Indore,2900000,42000,79,30
Bhopal,2500000,40000,78,31
Surat,6100000,45000,82,29
Chandigarh,1200000,55000,92,31
Nagpur,2800000,43000,81,30
Patna,2600000,37000,69,32
Coimbatore,2100000,44000,80,31
Vishakhapatnam,2200000,43000,78,31
Guwahati,1000000,38000,73,32
Bhubaneswar,1500000,40000,75,31
