store_id,city,region,store_format,monthly_revenue,operating_cost,customer_footfall,transactions,avg_transaction_value,competitor_count,
STR001,Delhi,North,Large,1250000,800000,42000,12000,1040,18,
STR002,Mumbai,West,Large,1390000,870000,47000,14000,995,20,
STR003,Bengaluru,South,Large,1280000,810000,43000,12200,1000,16,
STR004,Hyderabad,South,Medium,890000,610000,35000,9700,920,12,
STR005,Chennai,South,Medium,870000,590000,34000,9600,910,14,
STR006,Pune,West,Medium,920000,610000,36000,9800,935,13,
STR007,Ahmedabad,West,Medium,780000,530000,31000,8500,920,9,
STR008,Jaipur,North,Small,510000,330000,21000,5900,865,6,
STR009,Lucknow,North,Small,490000,320000,19000,5300,870,7,
STR010,Kolkata,East,Large,1050000,710000,38000,10500,940,17,
STR011,Indore,West,Medium,730000,490000,28000,7600,895,8,
STR012,Bhopal,West,Small,470000,300000,17000,5100,870,6,
STR013,Surat,West,Medium,760000,500000,29500,8000,910,7,
STR014,Chandigarh,North,Small,560000,360000,23000,6300,885,9,
STR015,Nagpur,West,Small,520000,340000,22000,5800,890,8,
STR016,Patna,East,Small,460000,310000,17500,4950,870,5,
STR017,Coimbatore,South,Small,500000,325000,18500,5300,885,6,
STR018,Vishakhapatnam,South,Medium,720000,470000,26500,7200,900,8,
STR019,Guwahati,East,Small,420000,280000,16000,4600,855,4,
STR020,Bhubaneswar,East,Medium,690000,450000,25000,6800,900,6,
